2021/01/23	12:55:07.142

Temps (ms)	Commande
0		ActuatorsRequest C3PO
6827		PosCmd C3PO 2498.652291105121 1485.8490566037735
12547		ActuatorCmd C3PO LED0 1
13443		ActuatorCmd C3PO LED1 1
14811		ActuatorCmd C3PO EV2 1
15692		ActuatorCmd C3PO EV2 0
16355		ActuatorCmd C3PO LED1 0
17003		ActuatorCmd C3PO LED0 0
19853		SpeedCmd C3PO 0 0 2.0000000002611458
20465		SpeedCmd C3PO 0 0 0.0
20465		SpeedCmd C3PO 0 0 2.0000000002611458
20493		SpeedCmd C3PO 0 0 0.0
20494		SpeedCmd C3PO 0 0 2.0000000002611458
20534		SpeedCmd C3PO 0 0 0.0
20535		SpeedCmd C3PO 0 0 2.0000000002611458
20585		SpeedCmd C3PO 0 0 0.0
20585		SpeedCmd C3PO 0 0 2.0000000002611458
20615		SpeedCmd C3PO 0 0 0.0
20615		SpeedCmd C3PO 0 0 2.0000000002611458
20668		SpeedCmd C3PO 0 0 0.0
20668		SpeedCmd C3PO 0 0 2.0000000002611458
20695		SpeedCmd C3PO 0 0 0.0
20695		SpeedCmd C3PO 0 0 2.0000000002611458
20735		SpeedCmd C3PO 0 0 0.0
20736		SpeedCmd C3PO 0 0 2.0000000002611458
20806		SpeedCmd C3PO 0 0 0.0
20806		SpeedCmd C3PO 0 0 2.0000000002611458
20817		SpeedCmd C3PO 0 0 0.0
20817		SpeedCmd C3PO 0 0 2.0000000002611458
20876		SpeedCmd C3PO 0 0 0.0
20876		SpeedCmd C3PO 0 0 2.0000000002611458
20897		SpeedCmd C3PO 0 0 0.0
20897		SpeedCmd C3PO 0 0 2.0000000002611458
20938		SpeedCmd C3PO 0 0 0.0
20938		SpeedCmd C3PO 0 0 2.0000000002611458
21004		SpeedCmd C3PO 0 0 0.0
21005		SpeedCmd C3PO 0 0 2.0000000002611458
21018		SpeedCmd C3PO 0 0 0.0
21018		SpeedCmd C3PO 0 0 2.0000000002611458
21075		SpeedCmd C3PO 0 0 0.0
21075		SpeedCmd C3PO 0 0 2.0000000002611458
21097		SpeedCmd C3PO 0 0 0.0
21098		SpeedCmd C3PO 0 0 2.0000000002611458
21138		SpeedCmd C3PO 0 0 0.0
21138		SpeedCmd C3PO 0 0 2.0000000002611458
21196		SpeedCmd C3PO 0 0 0.0
21196		SpeedCmd C3PO 0 0 2.0000000002611458
21196		SpeedCmd C3PO 1 0 2.0000000002611458
21196		SpeedCmd C3PO 1 0 0.0
21811		SpeedCmd C3PO 0 0 0.0
21811		SpeedCmd C3PO 1 0 0.0
21819		SpeedCmd C3PO 0 0 0.0
21819		SpeedCmd C3PO 1 0 0.0
21860		SpeedCmd C3PO 0 0 0.0
21861		SpeedCmd C3PO 1 0 0.0
21923		SpeedCmd C3PO 0 0 0.0
21923		SpeedCmd C3PO 1 0 0.0
21939		SpeedCmd C3PO 0 0 0.0
21940		SpeedCmd C3PO 1 0 0.0
21991		SpeedCmd C3PO 0 0 0.0
21991		SpeedCmd C3PO 1 0 0.0
22020		SpeedCmd C3PO 0 0 0.0
22020		SpeedCmd C3PO 1 0 0.0
22062		SpeedCmd C3PO 0 0 0.0
22062		SpeedCmd C3PO 1 0 0.0
22129		SpeedCmd C3PO 0 0 0.0
22129		SpeedCmd C3PO 1 0 0.0
22143		SpeedCmd C3PO 0 0 0.0
22143		SpeedCmd C3PO 1 0 0.0
22193		SpeedCmd C3PO 0 0 0.0
