2021/01/23	12:55:07.142

Temps (ms)	Expediteur			Message
0		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
11		Interface		ActuatorsRequest C3PO_ghost
13		C3PO		ActuatorDecl C3PO_ghost LED0 0 1 1 RW None
13		C3PO		ActuatorDecl C3PO_ghost LED1 0 1 1 RW None
13		C3PO		ActuatorDecl C3PO_ghost EV2 0 1 1 RW None
101		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
203		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
305		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
408		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
510		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
613		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
715		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
817		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
899		C3PO		ActuatorReport C3PO_ghost LED0 0
900		C3PO		ActuatorReport C3PO_ghost LED1 0
900		C3PO		ActuatorReport C3PO_ghost EV2 0
920		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1023		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1125		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1228		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1330		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1432		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1535		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1637		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1738		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1840		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
1942		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2044		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2146		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2248		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2349		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2450		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2552		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2653		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2755		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2857		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
2959		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3061		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3163		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3266		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3368		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3470		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3573		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3675		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3778		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3881		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
3984		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
4087		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
4190		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
4291		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
4392		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
4493		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
4595		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
4697		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
4800		C3PO		PosReport C3PO_ghost 1500.0 1000.0 0.0
